FULL NAME,TEAM,WingSpan(cm),POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage Rate,TO%Turnover Rate,FTA,FT,FT%,2PA,2P,2P%,3PA,3P,3P%,eFG,eFG%Effective Shooting Percentage,TS,TS%True Shooting Percentage,PPGPoints per game.,RPGRebounds per game.,TRB%Total Rebound Percentage,APGAssists per game.,Assist Percentage,SPGSteals per game.,BPGBlocks per game.,TOPGTurnovers per game.,VI,ORTG,DRTG
Max Strus,Mia,201.93,G-F,25.13,39,13,27.1,18.3,3.9,24,66.7,0.667,39,89.7,0.897,148,33.8,0.338,58.8,0.588,59.7,0.597,6.1,1.1,4.6,0.6,7.3,0.28,0.05,0.21,4.9,115.4,107.7
Edmond Sumner,Ind,203.2,G,25.38,53,16.2,33.9,18.3,13.8,83,81.9,0.819,194,58.2,0.582,88,39.8,0.398,58.7,0.587,62.6,0.626,7.5,1.8,5.9,0.9,7.9,0.62,0.19,0.96,5.7,111.3,107.5
Jae'Sean Tate,Hou,203.2,F,25.55,70,29.2,60.8,16.4,12.5,147,69.4,0.694,431,59.4,0.594,195,30.8,0.308,55.3,0.553,57.5,0.575,11.3,5.3,9.8,2.5,13.2,1.21,0.51,1.41,7.3,113.9,107.1
Jayson Tatum,Bos,210.82,F-G,23.21,64,35.8,74.5,30.8,10.4,340,86.8,0.868,833,50.2,0.502,485,38.6,0.386,53,0.53,57.6,0.576,26.4,7.4,11.5,4.3,20.3,1.17,0.48,2.67,10.5,113.4,109.7
Jeff Teague,Bos,190.5,G,32.93,34,18.1,37.8,17.7,15.4,61,83.6,0.836,132,39.4,0.394,56,46.4,0.464,48.4,0.484,54.2,0.542,6.9,1.7,5.1,2.1,16.2,0.76,0.21,1.15,6.4,107.4,110.2
Jeff Teague,Mil,190.5,G,32.93,21,15.9,33.1,17.5,17.9,44,86.4,0.864,69,50.7,0.507,26,38.5,0.385,52.6,0.526,60.3,0.603,6.6,1.5,4.9,2.8,22.2,0.38,0.24,1.19,7.6,117.8,112.9
Garrett Temple,Chi,213.36,G-F,35.03,56,27.3,56.9,13,12.4,50,80,0.8,181,50.3,0.503,200,33.5,0.335,50.3,0.503,52.5,0.525,7.6,2.8,5.8,2.2,10.5,0.77,0.52,1.02,5.3,105,108.4
Tyrell Terry,Dal,187.33,G,20.63,11,5.1,10.7,15.2,10.4,3,33.3,0.333,9,55.6,0.556,7,0,0,31.3,0.313,31.8,0.318,1,0.5,5.9,0.5,13.9,0.45,0,0.18,4.9,75.1,109.9
Daniel Theis,Bos,213.36,F-C,29.12,42,24.5,50.9,15,11.4,67,68.7,0.687,193,65.3,0.653,95,34.7,0.347,60.9,0.609,62.5,0.625,9.5,5.2,11.9,1.6,9.3,0.6,1.02,0.98,7,122,103.6
Daniel Theis,Chi,213.36,F,29.12,23,24.9,52,16.8,11.3,43,65.1,0.651,121,63.6,0.636,57,28.1,0.281,56.7,0.567,58.4,0.584,10,5.9,13.1,1.8,10,0.7,0.61,1.09,7.6,115.7,106.4
Brodric Thomas,Hou,210.82,G,24.3,4,6.1,12.6,24.7,28.4,7,71.4,0.714,1,100,1,6,16.7,0.167,35.7,0.357,49.6,0.496,2.5,1,8.8,1,22.5,0.25,0.25,1,8.9,88.4,96.3
Brodric Thomas,Cle,210.82,G,24.3,28,13.4,27.9,15.8,13.2,39,66.7,0.667,48,45.8,0.458,53,28.3,0.283,44.1,0.441,48.7,0.487,4.1,1.8,7.3,0.9,9.9,0.5,0.32,0.64,5.6,96.5,108.1
Isaiah Thomas,Nor,190.5,G,32.27,3,16.1,33.5,29.5,17.7,2,100,1,15,40,0.4,12,25,0.25,38.9,0.389,41.2,0.412,7.7,1.3,4.5,1.7,15,0.33,0,2,6.4,78.1,112.5
Khyri Thomas,Hou,208.28,G,25.02,5,30.6,63.7,21.1,7.9,9,100,1,39,59,0.59,27,33.3,0.333,55.3,0.553,58.6,0.586,16.4,3.6,6.3,5,26.9,1.8,1.2,1.2,8.7,122.8,113.3
Matt Thomas,Tor,195.58,G,26.78,26,7.4,15.4,16,8.4,7,85.7,0.857,21,33.3,0.333,41,41.5,0.415,52.4,0.524,54.5,0.545,2.7,0.8,6,0.3,6.7,0.08,0,0.23,4.7,105.9,114.7
Matt Thomas,Uta,195.58,G,26.78,19,7.1,14.7,24.4,10.5,7,85.7,0.857,26,61.5,0.615,39,25.6,0.256,47.7,0.477,49.9,0.499,3.6,1.2,9.1,0.5,11.2,0.11,0,0.42,7.3,99.8,106
Tristan Thompson,Bos,216.54,C-F,30.18,54,23.8,49.6,14.8,14.1,120,59.2,0.592,323,52.3,0.523,3,0,0,51.8,0.518,54,0.54,7.6,8.1,19,1.2,7.2,0.44,0.61,1.15,7.1,114.5,105.4
Sindarius Thornwell,Nor,208.28,G,26.5,14,5.2,10.9,14.8,15.5,2,0,0,12,33.3,0.333,9,33.3,0.333,40.5,0.405,38.8,0.388,1.2,0.4,3.7,0.3,7,0.36,0.07,0.29,4,76.1,111.8
Sindarius Thornwell,Orl,208.28,G,26.5,7,20.5,42.7,9.2,9.8,6,66.7,0.667,11,36.4,0.364,14,28.6,0.286,40,0.4,43.4,0.434,3.4,1.9,4.7,2.4,16,1,0.14,0.43,4.9,104.3,108.9
Matisse Thybulle,Phi,212.09,G-F,24.2,65,20,41.6,9.4,11.3,18,44.4,0.444,100,59,0.59,143,30.1,0.301,50.8,0.508,50.8,0.508,3.9,1.9,5.3,1,6.3,1.62,1.09,0.49,3.9,103.6,100.2
Killian Tillie,Mem,203.2,F-C,23.2,18,10.1,21,14.8,3.1,11,81.8,0.818,24,37.5,0.375,33,30.3,0.303,42.1,0.421,46.1,0.461,3.2,1.3,7,0.4,5.6,0.28,0.44,0.11,4.7,103.4,104.9
Xavier Tillman,Mem,218.44,F,22.34,59,18.4,38.3,14.3,12.3,53,64.2,0.642,234,62,0.62,65,33.8,0.338,59.5,0.595,60.5,0.605,6.6,4.3,12.5,1.3,9.4,0.75,0.56,0.76,7.2,117.9,102.6
Anthony Tolliver,Phi,198.12,F,35.96,11,9,18.8,9.8,13.3,6,83.3,0.833,3,0,0,14,28.6,0.286,35.3,0.353,43.3,0.433,1.5,0.9,5.6,0.2,2.5,0.27,0.18,0.27,2.9,90.7,106.3
Obi Toppin,Nyk,218.44,F,23.2,62,11,23,15.9,9.4,26,73.1,0.731,124,62.9,0.629,85,30.6,0.306,56,0.56,57.4,0.574,4.1,2.2,11,0.5,6.4,0.27,0.24,0.37,6,111.9,102.9
Juan Toscano-Anderson,Gol,213.36,F,28.1,53,20.9,43.5,11,21.8,31,71,0.71,117,71.8,0.718,92,40.2,0.402,66.7,0.667,67.6,0.676,5.7,4.4,11.2,2.8,18.1,0.77,0.49,1.17,7.9,120.7,102.4
Axel Toupane,Mil,218.44,G-F,20,8,7.7,15.9,9.6,0,7,71.4,0.714,9,33.3,0.333,2,50,0.5,40.9,0.409,49.7,0.497,1.8,0.8,5.2,0.5,7.6,0.25,0.38,0,4.7,118.6,105.5
Karl-Anthony Towns,Min,223.52,C-F,25.5,50,33.8,70.4,29.1,13.7,311,85.9,0.859,560,54.1,0.541,315,38.7,0.387,55.5,0.555,61.2,0.612,24.8,10.6,17,4.5,22.6,0.76,1.14,3.2,12.5,116.4,105.4
Gary Trent Jr.,Por,205.11,G-F,22.33,41,30.8,64.1,20.1,5.3,75,77.3,0.773,219,43.8,0.438,305,39.7,0.397,53,0.53,55,0.55,15,2.2,3.9,1.4,6.7,0.9,0.15,0.76,4.7,112,116.4
Gary Trent Jr.,Tor,205.11,G-F,22.33,17,31.8,66.2,22.9,4.2,31,80.6,0.806,137,43.1,0.431,124,35.5,0.355,47.9,0.479,50.1,0.501,16.2,3.6,6.2,1.3,6.4,1.12,0.24,0.71,5.3,100.3,112.7
P.J. Tucker,Hou,212.09,F,36.03,32,30,62.4,7.7,19,23,78.3,0.783,45,46.7,0.467,86,31.4,0.314,46.9,0.469,50,0.5,4.4,4.6,8.2,1.4,6.1,0.88,0.56,1.03,4.1,99,109.3
P.J. Tucker,Mil,212.09,F,36.03,20,19.8,41.3,5.8,12.7,5,60,0.6,13,38.5,0.385,33,39.4,0.394,53.3,0.533,53.9,0.539,2.6,2.8,7.4,0.8,4.6,0.5,0.1,0.35,3.6,119.1,107.4
Rayjon Tucker,Phi,200.66,G,23.64,14,4.9,10.1,19.2,13.2,19,73.7,0.737,11,63.6,0.636,7,28.6,0.286,55.6,0.556,64.5,0.645,2.4,0.8,8.9,0.4,12.2,0.14,0,0.29,7.5,122.7,99.4
Myles Turner,Ind,223.52,C-F,25.15,47,31,64.5,16.4,11.9,142,78.2,0.782,226,60.6,0.606,206,33.5,0.335,55.7,0.557,59.9,0.599,12.6,6.5,11.4,1,4.4,0.85,3.38,1.43,5.6,111.4,104.4
Jonas Valanciunas,Mem,226.06,C,29.03,62,28.3,59,22.4,10.7,203,77.3,0.773,685,61.2,0.612,57,36.8,0.368,60.7,0.607,63.6,0.636,17.1,12.5,23.4,1.8,10,0.56,0.92,1.61,10.3,124.9,101
Denzel Valentine,Chi,210.19,G,27.5,62,16.7,34.8,19.5,9,17,94.1,0.941,174,43.1,0.431,242,33.1,0.331,46.9,0.469,47.9,0.479,6.5,3.2,10.5,1.7,14,0.48,0.11,0.68,7.9,99.6,108.1
Jarred Vanderbilt,Min,215.9,F,22.12,64,17.8,37.1,12.3,15.9,102,55.9,0.559,231,61.5,0.615,5,20,0.2,60.8,0.608,61.2,0.612,5.4,5.8,17.5,1.2,9.3,1,0.73,0.83,7.5,120.6,104
Fred VanVleet,Tor,187.96,G,27.22,52,36.5,76.1,23.9,9.1,191,88.5,0.885,394,41.6,0.416,476,36.6,0.366,48.9,0.489,53.4,0.534,19.6,4.2,6.4,6.3,26.7,1.67,0.71,1.83,8.8,112.4,111
Anderson Varejao,Cle,218.44,F,38.63,5,7.2,15,25.4,4.8,9,55.6,0.556,15,26.7,0.267,1,0,0,25,0.25,32.6,0.326,2.6,4,31.1,0.6,12.2,0,0.4,0.2,10.2,90.1,104.6
Devin Vassell,San,208.28,G-F,20.73,62,17,35.5,14.3,6.3,51,84.3,0.843,153,46.4,0.464,150,34.7,0.347,49.2,0.492,52.4,0.524,5.5,2.8,8.8,0.9,7.1,0.69,0.29,0.35,5.7,107.5,106.6
Gabe Vincent,Mia,195.58,G,24.92,50,13.1,27.3,19.1,12.3,23,87,0.87,84,50,0.5,149,30.9,0.309,47.6,0.476,49.8,0.498,4.8,1.1,4.9,1.3,15.1,0.42,0.04,0.68,5.8,97.8,103
Noah Vonleh,Bro,226.06,F,25.73,4,2.7,5.6,20.2,40,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0.3,5.1,0.3,10.4,0,0,0.5,0,,
Nikola Vucevic,Orl,224.79,C,30.56,44,34.1,71,29.9,8,110,82.7,0.827,620,51.5,0.515,288,40.6,0.406,54.5,0.545,56.5,0.565,24.5,11.8,17.9,3.8,22.1,0.95,0.64,1.89,12.1,111.7,108.1
Nikola Vucevic,Chi,224.79,C,30.56,26,32.6,67.9,28.2,7.8,46,87,0.87,336,50.9,0.509,152,38.8,0.388,53.2,0.532,55,0.55,21.5,11.6,19.7,3.9,20,0.88,0.77,1.65,12.2,112,105.2
Dean Wade,Cle,208.28,F-C,24.49,63,19.2,40.1,12.9,8.4,39,76.9,0.769,98,57.1,0.571,213,36.6,0.366,55.6,0.556,57.3,0.573,6,3.4,9.9,1.2,8.9,0.54,0.33,0.48,6,115.5,111
Moritz Wagner,Was,213.36,F-C,24.06,25,15,31.3,18.3,12.7,52,78.8,0.788,80,61.3,0.613,42,31,0.31,56.1,0.561,61.4,0.614,7.1,2.9,10.3,1.3,11.7,0.88,0.32,0.84,8,116.4,97
Moritz Wagner,Bos,213.36,F-C,24.06,9,6.8,14.1,16.9,37.7,2,50,0.5,8,25,0.25,6,33.3,0.333,35.7,0.357,37,0.37,1.2,2.1,17.4,0.7,12.4,0,0.11,1,7.1,65.4,97
Moritz Wagner,Orl,213.36,F-C,24.06,11,26,54.1,18.2,10.8,33,87.9,0.879,50,44,0.44,43,37.2,0.372,49.5,0.495,56.3,0.563,11,4.9,9.8,1.1,6.4,0.36,0.82,1.18,6,109.2,104.4
Lonnie Walker IV,San,209.55,G-F,22.42,60,25.4,52.8,20.2,9.2,70,81.4,0.814,327,47.7,0.477,282,35.5,0.355,50.2,0.502,52.3,0.523,11.2,2.6,5.4,1.7,9.6,0.48,0.25,1.08,5.8,99.9,111.1
Kemba Walker,Bos,191.77,G,31.03,43,31.8,66.3,26.1,10.6,149,89.9,0.899,323,48.6,0.486,353,36,0.36,51.4,0.514,55.9,0.559,19.3,4,6.9,4.9,23.8,1.12,0.28,2.05,9.1,113.5,112.6
John Wall,Hou,206.38,G,30.69,40,32.2,67.1,31.7,14.7,211,74.9,0.749,477,44.9,0.449,249,31.7,0.317,45.8,0.458,50.3,0.503,20.6,3.2,5.3,6.9,36.2,1.05,0.78,3.53,9.6,99.3,116.4
Brad Wanamaker,Gol,203.2,G,31.81,39,16,33.4,16,15.8,56,89.3,0.893,112,42.9,0.429,61,21.3,0.213,39,0.39,46.8,0.468,4.7,1.7,5.6,2.5,20.8,0.67,0.15,0.95,6.8,99.5,106.2
Brad Wanamaker,Cha,203.2,G,31.81,22,19.5,40.5,18.1,18.9,45,88.9,0.889,102,50,0.5,24,12.5,0.125,44,0.44,51.8,0.518,6.9,1.8,4.9,3.4,24.9,0.73,0.23,1.55,7.1,104.6,108.3
T.J. Warren,Ind,208.92,F,27.7,4,29.4,61.1,21.5,6.7,10,80,0.8,44,61.4,0.614,7,0,0,52.9,0.529,56,0.56,15.5,3.5,6.5,1.3,6.4,0.5,0,1,5.6,107,104.7
P.J. Washington,Cha,219.08,F,22.73,64,30.5,63.6,19.4,14.6,145,74.5,0.745,397,47.9,0.479,290,38.6,0.386,52.1,0.521,54.9,0.549,12.9,6.5,11.6,2.5,12.2,1.09,1.23,2,7.8,104.3,105.8
Yuta Watanabe,Tor,208.28,G-F,26.59,50,14.5,30.1,12.7,9,29,82.8,0.828,90,47.8,0.478,90,40,0.4,53.9,0.539,56.5,0.565,4.4,3.2,12,0.8,7.7,0.52,0.4,0.38,6.2,116.4,107.6
Tremont Waters,Bos,189.23,G,23.35,26,9.1,19,21.5,22.8,17,94.1,0.941,46,41.3,0.413,38,39.5,0.395,49.4,0.494,54.1,0.541,3.8,0.8,4.9,2.4,36.4,0.58,0.04,1.04,8.5,107.7,108.9
Paul Watson,Tor,205.74,G,26.38,27,11,22.9,13.8,9.5,8,62.5,0.625,18,44.4,0.444,64,46.9,0.469,64.6,0.646,64.9,0.649,4.1,1.7,8.3,0.6,8.2,0.19,0.11,0.33,5.9,120.3,104.9
Quinndary Weatherspoon,San,205.74,G,24.68,20,6.1,12.6,18.7,19.2,16,81.3,0.813,29,51.7,0.517,6,16.7,0.167,47.1,0.471,54.7,0.547,2.3,0.6,4.8,0.4,9,0.4,0.1,0.5,5.4,96.6,100
Russell Westbrook,Was,203.2,G,32.51,65,36.4,75.9,30.3,18,413,65.6,0.656,965,47.5,0.475,273,31.5,0.315,47.4,0.474,50.9,0.509,22.2,11.5,16.8,11.7,48.6,1.35,0.35,4.8,15.8,104.1,104.3
Coby White,Chi,195.58,G,21.25,69,31.2,65.1,22.5,13.9,142,90.1,0.901,448,47.3,0.473,454,35.9,0.359,50.6,0.506,54,0.54,15.1,4.1,7.3,4.8,21.8,0.55,0.22,2.26,8.6,105.5,108.3
Derrick White,San,201.93,G,26.87,36,29.5,61.6,22.4,8.2,114,85.1,0.851,210,48.6,0.486,243,34.6,0.346,50.3,0.503,55,0.55,15.4,3,5.4,3.5,17.4,0.72,1,1.25,7.4,110.6,108.7
Hassan Whiteside,Sac,231.14,C,31.93,36,15.2,31.6,23.5,13.4,79,51.9,0.519,223,56.5,0.565,1,0,0,56.3,0.563,56.6,0.566,8.1,6,21.9,0.6,5.6,0.25,1.28,1.11,8.1,106.8,103.2
Greg Whittington,Den,203.2,F,28.27,4,3,6.3,10.9,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Andrew Wiggins,Gol,213.36,F,26.23,71,33.3,69.4,23.3,9.7,238,71.4,0.714,690,52.9,0.529,368,38,0.38,54.3,0.543,56.8,0.568,18.6,4.9,7.8,2.4,10.9,0.93,0.99,1.76,7.2,107.4,108.7
Robert Williams III,Bos,227.33,C-F,23.58,52,18.9,39.5,15,15.2,73,61.6,0.616,256,72.7,0.727,2,0,0,72.1,0.721,71.9,0.719,8,6.9,20.2,1.8,14.2,0.83,1.77,1,9.8,137.8,101.5
Grant Williams,Bos,207.65,F,22.46,63,18.1,37.6,12.3,17.2,51,58.8,0.588,118,50.8,0.508,129,37.2,0.372,53.4,0.534,54.6,0.546,4.7,2.8,8.7,1,7.4,0.51,0.37,0.89,5.2,104,101.9
Kenrich Williams,Okc,201.3,G-F,26.46,66,21.6,45,15.3,14.8,63,57.1,0.571,294,56.8,0.568,117,44.4,0.444,59.6,0.596,59.9,0.599,8,4.1,9.9,2.3,16.4,0.86,0.26,1.15,7.8,115.4,106.2
Lou Williams,Lac,190.5,G,34.55,42,21.9,45.5,26.5,12,119,86.6,0.866,311,43.7,0.437,119,37.8,0.378,47.3,0.473,52.9,0.529,12.1,2.1,5.4,3.4,23.3,0.93,0.1,1.57,8.1,107.9,110.5
Lou Williams,Atl,190.5,G,34.55,24,21.1,43.9,24.3,14.6,54,87,0.87,163,36.8,0.368,54,44.4,0.444,44.2,0.442,49.6,0.496,10,2.1,5.4,3.4,23.7,0.33,0.08,1.71,7.9,100.7,114.2
Zion Williamson,Nor,209.55,F,20.86,61,33.2,69.2,29.8,11.6,529,69.8,0.698,1003,62.2,0.622,34,29.4,0.294,61.6,0.616,64.9,0.649,27,7.2,11.8,3.7,19.8,0.93,0.64,2.74,10.8,123.4,109.8
Patrick Williams,Chi,210.82,F,19.72,71,27.9,58.2,14.9,14.4,125,72.8,0.728,390,51.5,0.515,138,39.1,0.391,53.4,0.534,56.2,0.562,9.2,4.6,9.1,1.4,6.7,0.9,0.65,1.38,5.6,104.6,109.1
D.J. Wilson,Mil,220.98,F,25.24,12,8.7,18.2,19.2,8.4,2,50,0.5,15,40,0.4,28,35.7,0.357,48.8,0.488,49,0.49,3.6,2.1,12.6,0.3,3.7,0.08,0.33,0.33,6,96.2,101.4
D.J. Wilson,Hou,220.98,F-C,25.24,23,14.3,29.7,19.9,11.8,23,69.6,0.696,66,48.5,0.485,59,33.9,0.339,49.6,0.496,51.8,0.518,6.1,3.8,14.1,0.9,9.3,0.43,0.52,0.78,7.7,100.6,106.8
Dylan Windler,Cle,208.28,G-F,24.65,31,16.5,34.5,14.9,18.3,27,77.8,0.778,53,58.5,0.585,78,33.3,0.333,53.4,0.534,56.3,0.563,5.2,3.5,11.6,1.1,9.4,0.61,0.39,1.03,6.6,102,108.9
Justise Winslow,Mem,208.92,F-G,25.14,26,19.5,40.6,21.9,14.1,35,57.1,0.571,156,41,0.41,54,18.5,0.185,37.6,0.376,39.5,0.395,6.8,4.5,12.3,1.9,13.3,0.58,0.46,1.42,7.9,81.8,104.1
Cassius Winston,Was,200.66,G,23.21,22,4.5,9.3,17.1,12.3,6,83.3,0.833,16,37.5,0.375,17,47.1,0.471,54.5,0.545,57.5,0.575,1.9,0.4,4.9,0.5,16.3,0.09,0.05,0.23,6.4,110.5,109.7
James Wiseman,Gol,226.06,C,20.13,39,21.4,44.7,23.8,12.9,86,62.8,0.628,330,54.2,0.542,38,31.6,0.316,53.5,0.535,55.2,0.552,11.5,5.8,14.4,0.7,4.9,0.28,0.92,1.54,6.7,99.5,98.3
Robert Woodard II,Sac,218.44,F,21.65,13,3.5,7.3,23.2,4.1,8,37.5,0.375,14,50,0.5,6,16.7,0.167,42.5,0.425,42.5,0.425,1.5,1.2,19.6,0.2,6.2,0,0.23,0.08,8.1,,
Christian Wood,Hou,221.62,F,25.64,41,32.3,67.4,25.9,9.9,198,63.1,0.631,434,58.1,0.581,206,37.4,0.374,57.4,0.574,59.1,0.591,21,9.6,15.9,1.7,9.4,0.83,1.17,1.95,8.7,110.5,109.4
Delon Wright,Det,201.93,G,29.06,36,29.2,60.9,15.8,12.6,90,78.9,0.789,204,51.5,0.515,89,34.8,0.348,51.7,0.517,56.2,0.562,10.4,4.6,8.7,5,25.7,1.58,0.53,1.33,8.5,119.1,110.5
Delon Wright,Sac,201.93,G,29.06,27,25.8,53.7,17.1,12.7,36,83.3,0.833,142,50,0.5,83,39.8,0.398,53.6,0.536,56.3,0.563,10,3.9,8.4,3.6,18.9,1.56,0.37,1.3,8.1,114.9,115.4
Thaddeus Young,Chi,212.09,F,32.9,68,24.3,50.6,22.3,16,113,62.8,0.628,618,57.9,0.579,45,26.7,0.267,56.7,0.567,57.7,0.577,12.1,6.2,14.1,4.3,27.1,1.09,0.59,2,11.3,115.3,104.5
Trae Young,Atl,190.5,G,22.66,63,33.7,70.3,33,16.2,546,88.6,0.886,715,49.1,0.491,397,34.3,0.343,49.9,0.499,58.9,0.589,25.3,3.9,6.3,9.4,45.5,0.84,0.17,4.14,11.6,116.9,111.9
Cody Zeller,Cha,210.82,F-C,28.61,48,20.9,43.6,18.3,11.9,119,71.4,0.714,296,59.8,0.598,28,14.3,0.143,56.5,0.565,59.9,0.599,9.4,6.8,17.7,1.8,13.2,0.56,0.35,1.06,9.3,121.8,101.5
Ivica Zubac,Lac,223.52,C,24.16,72,22.3,46.5,15.2,14.7,171,78.9,0.789,390,65.6,0.656,4,25,0.25,65.4,0.654,69.3,0.693,9,7.2,18.1,1.3,7.9,0.33,0.86,1.13,7.9,134.5,101
