FULL NAME,TEAM,WingSpan(cm),POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage Rate,TO%Turnover Rate,FTA,FT,FT%,2PA,2P,2P%,3PA,3P,3P%,eFG,eFG%Effective Shooting Percentage,TS,TS%True Shooting Percentage,PPGPoints per game.,RPGRebounds per game.,TRB%Total Rebound Percentage,APGAssists per game.,Assist Percentage,SPGSteals per game.,BPGBlocks per game.,TOPGTurnovers per game.,VI,ORTG,DRTG
Andre Iguodala,Mia,210.82,G-F,37.3,63,21.3,44.3,11.2,20.2,38,65.8,0.658,66,53,0.53,182,33,0.33,50.4,0.504,51.9,0.519,4.4,3.5,9.4,2.3,14.3,0.92,0.52,1.06,6.2,102.6,106.4
Ersan Ilyasova,Uta,215.9,F,34.01,17,8.7,18.1,18.8,12.5,5,100,1,13,23.1,0.231,41,43.9,0.439,55.6,0.556,57.8,0.578,3.8,1.7,10.4,0.2,3.8,0.59,0.18,0.47,5,108.2,87.8
Joe Ingles,Uta,208.92,F-G,33.62,67,27.9,58,16.6,16.3,90,84.4,0.844,156,59,0.59,406,45.1,0.451,65.2,0.652,67.2,0.672,12.1,3.6,6.9,4.7,24,0.67,0.18,1.75,8.4,128.2,105.6
Brandon Ingram,Nor,220.98,F,23.7,61,34.3,71.5,28,11,320,87.8,0.878,726,51,0.51,375,38.1,0.381,53.1,0.531,58.4,0.584,23.8,4.9,7.8,4.9,22.4,0.69,0.59,2.51,9.7,114.9,111.3
Kyrie Irving,Bro,193.04,G,29.15,54,34.9,72.8,30.3,9.8,218,92.2,0.922,708,56.1,0.561,378,40.2,0.402,57.6,0.576,61.4,0.614,26.9,4.8,7.5,6,28.6,1.41,0.69,2.39,10.5,121,109.3
Wes Iwundu,Dal,215.9,F,26.41,23,12.5,26.1,9.9,9.4,14,85.7,0.857,29,48.3,0.483,23,13,0.13,35.6,0.356,42.1,0.421,2.1,1.9,8.4,0.4,4.4,0.39,0.13,0.26,3.7,92.6,106.6
Wes Iwundu,Nor,215.9,F,26.41,18,14,29.1,11.8,18.4,17,82.4,0.824,32,46.9,0.469,18,11.1,0.111,36,0.36,43.5,0.435,2.8,2.6,9.9,0.4,3.9,0.33,0.06,0.72,4.1,85.6,107.2
Jaren Jackson Jr.,Mem,226.7,F-C,21.67,11,23.5,48.9,25.9,9.5,42,83.3,0.833,65,55.4,0.554,60,28.3,0.283,49.2,0.492,55.1,0.551,14.4,5.6,12.7,1.1,6.8,1.09,1.64,1.36,7.6,108.5,95.8
Frank Jackson,Det,201.93,G,23.04,40,18.5,38.4,21.4,9.7,75,81.3,0.813,143,51,0.51,150,40.7,0.407,56.1,0.561,59.8,0.598,9.8,2.2,6.5,0.9,7.9,0.38,0.03,0.88,5.8,111.5,110.2
Josh Jackson,Det,208.28,G-F,24.26,62,25.2,52.4,26.5,15,218,72.9,0.729,451,48.6,0.486,257,30,0.3,47.2,0.472,51.5,0.515,13.4,4.1,9.1,2.3,15.1,0.85,0.76,2.29,8,96.5,103.8
Justin Jackson,Okc,210.82,F,26.14,33,16.5,34.4,20.2,12,35,85.7,0.857,101,51.5,0.515,111,30.6,0.306,48.6,0.486,51.9,0.519,7.2,2.2,6.8,1.5,14.5,0.45,0.06,0.94,7,101.8,112.4
Justin Jackson,Mil,210.82,F,26.14,1,32.6,67.9,14,9.2,2,50,0.5,3,33.3,0.333,6,33.3,0.333,44.4,0.444,45.5,0.455,9,6,9.7,1,3.7,0,0,1,4.6,98.7,114.2
Reggie Jackson,Lac,211.46,G,31.09,67,23,48,20,10.6,82,81.7,0.817,303,46.5,0.465,282,43.3,0.433,55.4,0.554,57.6,0.576,10.7,2.9,7,3.1,19,0.63,0.1,1.1,8,116.1,106.6
Justin James,Sac,203.2,G-F,24.31,36,8.6,18,19.7,10.6,36,58.3,0.583,73,52.1,0.521,38,36.8,0.368,53.2,0.532,54.8,0.548,3.9,0.8,5.4,0.6,9.9,0.22,0.08,0.42,5.7,106.1,115.3
LeBron James,Lal,214,F,36.38,45,33.4,69.6,31.9,15.2,255,69.8,0.698,537,59.2,0.592,285,36.5,0.365,57.7,0.577,60.3,0.603,25,7.7,12.9,7.8,41.8,1.07,0.56,3.73,13.7,113.8,103.8
Mike James,Bro,187.96,G,30.75,13,18.2,37.8,22.9,16.1,27,77.8,0.778,61,37.7,0.377,31,35.5,0.355,42.9,0.429,48.1,0.481,7.7,2.5,7.5,4.2,30.6,0.46,0.08,1.54,9.5,102.8,113.3
DaQuan Jeffries,Sac,213.36,G-F,23.71,18,12.9,26.8,12.6,11.8,7,85.7,0.857,29,51.7,0.517,28,32.1,0.321,50,0.5,52.4,0.524,3.5,1.6,6.9,0.3,3.3,0.39,0.22,0.44,3.7,101.8,111.8
DaQuan Jeffries,Hou,213.36,G-F,23.71,13,20.1,41.8,11.3,8.6,1,100,1,24,62.5,0.625,39,28.2,0.282,50,0.5,50.4,0.504,4.9,3.2,8.6,1.2,8.6,0.62,0.46,0.46,5.3,106.5,109
Ty Jerome,Okc,193.04,G-F,23.86,33,23.9,49.7,18.8,13.5,34,76.5,0.765,119,47.9,0.479,168,42.3,0.423,57,0.57,58.5,0.585,10.7,2.8,6.1,3.6,23.7,0.61,0.18,1.42,8,113.2,110.4
Isaiah Joe,Phi,201.93,G,21.87,41,9.3,19.5,17.4,7.1,24,75,0.75,27,33.3,0.333,106,36.8,0.368,50.8,0.508,53.3,0.533,3.7,0.9,5.2,0.5,7.2,0.29,0.1,0.27,5.1,107.7,104.2
Alize Johnson,Bro,205.11,F,25.07,18,10.5,21.8,19.1,10.9,13,100,1,62,62.9,0.629,6,16.7,0.167,59.6,0.596,63.8,0.638,5.2,5,26.3,0.8,10.9,0.28,0.28,0.5,10.5,131.1,102.6
Cameron Johnson,Pho,208.28,F,25.2,60,24,49.9,17,7.3,59,84.7,0.847,148,58.1,0.581,335,34.9,0.349,54.1,0.541,56.3,0.563,9.6,3.3,7.9,1.4,8,0.62,0.27,0.67,5.9,111.9,109.6
James Johnson,Dal,215.27,F,34.24,29,17.4,36.2,16.2,14.6,29,58.6,0.586,85,61.2,0.612,60,25,0.25,51.4,0.514,52.6,0.526,5.7,3,9.4,1.7,13.7,0.83,0.79,0.93,7.1,104.1,102.1
James Johnson,Nor,215.27,F,34.24,22,24.5,51,18,12.1,47,59.6,0.596,122,51.6,0.516,60,26.7,0.267,47.8,0.478,49.8,0.498,9.2,4.1,9.2,2.2,12.2,0.82,0.86,1.27,7.1,100.9,104.4
Keldon Johnson,San,206.38,F-G,21.6,69,28.5,59.4,19.2,9,196,74,0.74,524,53.1,0.531,181,33.1,0.331,52.2,0.522,55.7,0.557,12.8,6,11.1,1.8,8.9,0.58,0.35,1.13,7.3,110.5,108.5
Stanley Johnson,Tor,212.09,F-G,24.97,61,16.5,34.3,13.4,17.4,55,80,0.8,96,45.8,0.458,137,32.8,0.328,47.9,0.479,51.9,0.519,4.4,2.5,8.4,1.5,12,0.85,0.31,0.89,6.2,101.5,103.8
Tyler Johnson,Bro,198.12,G,29.03,39,17.5,36.5,13.4,8.1,21,85.7,0.857,51,47.1,0.471,132,36.4,0.364,52.5,0.525,54.6,0.546,5.4,2,6.2,1.2,8.7,0.36,0,0.44,5.4,110.6,111.9
Nikola Jokic,Den,220.98,C,26.24,72,34.6,72,29.6,13.1,394,86.8,0.868,1056,60.6,0.606,237,38.8,0.388,60.2,0.602,64.7,0.647,26.4,10.8,17.8,8.3,40.4,1.32,0.67,3.08,15.4,129.8,104.8
Derrick Jones Jr.,Por,213.36,F,24.25,58,22.7,47.3,12.3,8.5,91,64.8,0.648,168,61.9,0.619,136,31.6,0.316,55.4,0.554,57.6,0.576,6.8,3.5,8.3,0.8,4.8,0.64,0.93,0.55,4.7,120.1,110.1
Damian Jones,Pho,222.89,C,25.88,14,6.7,13.9,12.8,22.4,11,54.5,0.545,15,53.3,0.533,1,0,0,50,0.5,52.8,0.528,1.6,1.3,10.9,0.3,5.3,0.07,0.36,0.43,5.1,100.4,94
Damian Jones,Lal,222.89,C,25.88,8,14,29.1,10.6,18.3,12,91.7,0.917,17,94.1,0.941,0,0,0,94.1,0.941,96.5,0.965,5.4,3.3,13,0.1,1.3,0.13,0.88,0.63,3.5,157.6,90.2
Damian Jones,Sac,222.89,C,25.88,17,20,41.7,12.7,14.9,35,71.4,0.714,66,68.2,0.682,4,25,0.25,66.4,0.664,69.1,0.691,6.9,4.5,12.5,1.4,9.4,0.53,1,0.88,7,130,109
Mason Jones,Hou,200.66,G,22.82,26,11.8,24.6,23.1,16.8,57,61.4,0.614,50,48,0.48,64,35.9,0.359,51.3,0.513,54.6,0.546,5.8,2,8.8,1.5,19.1,0.23,0.04,1.08,8.8,100.7,111.6
Mason Jones,Phi,200.66,G,22.82,6,4.5,9.4,20.7,7.6,7,71.4,0.714,7,57.1,0.571,2,50,0.5,61.1,0.611,66.2,0.662,2.7,0.7,8.1,0.5,16.4,0.17,0,0.17,8.7,139,106.6
Tre Jones,San,193.04,G,21.35,37,7.3,15.1,16.1,13.1,19,89.5,0.895,73,46.6,0.466,5,60,0.6,49.4,0.494,54.4,0.544,2.5,0.6,4.2,1.1,20,0.22,0,0.35,6.5,111.8,113.6
Tyus Jones,Mem,195.58,G,25.02,70,17.5,36.4,16.6,10,45,91.1,0.911,273,48.7,0.487,140,32.1,0.321,48.5,0.485,51.1,0.511,6.3,2,6.1,3.7,28.6,0.9,0.09,0.69,8.2,114.7,112.8
DeAndre Jordan,Bro,228.6,C,32.82,57,21.9,45.5,13.2,22.6,92,50,0.5,249,76.3,0.763,1,0,0,76,0.76,73.3,0.733,7.5,7.5,18.9,1.6,10.1,0.3,1.14,1.49,8.2,126.5,104.9
Cory Joseph,Sac,196.85,G,29.74,44,21.5,44.7,14.3,14,47,76.6,0.766,156,51.3,0.513,94,33,0.33,50.6,0.506,53.4,0.534,6.6,2.3,5.9,2.5,14.9,0.86,0.2,1,6.3,108.3,110.9
Cory Joseph,Det,196.85,G,29.74,19,26.4,55,19.8,14.9,41,87.8,0.878,138,54.3,0.543,38,36.8,0.368,54.5,0.545,58.8,0.588,12,3.2,6.6,5.5,33.7,1.21,0.47,1.79,9,117.5,107.4
Mfiondu Kabengele,Lac,220.98,F-C,23.76,23,4.1,8.5,19.2,14.8,6,83.3,0.833,14,35.7,0.357,18,22.2,0.222,34.4,0.344,39,0.39,1.2,0.6,8.4,0.2,6.9,0.09,0.13,0.26,5.1,77.3,93.7
Mfiondu Kabengele,Cle,220.98,F-C,23.76,16,11.6,24.2,16.9,12.5,14,78.6,0.786,25,60,0.6,32,28.1,0.281,50,0.5,53.8,0.538,4.3,2.9,13.8,0.8,9.6,0.38,0.63,0.56,7.4,107,105.9
Frank Kaminsky,Pho,210.82,F-C,28.12,47,15.2,31.7,19,7.2,60,61.7,0.617,172,52.3,0.523,85,36.5,0.365,53.1,0.531,54.7,0.547,6.6,4,14.9,1.7,15.3,0.3,0.36,0.47,9.4,116.6,102.9
Enes Kanter,Por,217.17,C,28.99,72,24.4,50.8,17.4,11,164,77.4,0.774,557,60.7,0.607,4,25,0.25,60.5,0.605,63.6,0.636,11.2,11,24.2,1.2,7.2,0.46,0.67,1.08,8.7,132.3,105.5
Luke Kennard,Lac,196.22,G,24.89,63,19.6,40.8,17.1,10.1,31,83.9,0.839,190,51.1,0.511,224,44.6,0.446,59.7,0.597,60.8,0.608,8.3,2.6,7.3,1.7,11.9,0.35,0.14,0.76,6.8,117.2,107.9
